Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Racially Based Jury Nullification: Black Power in the Criminal Justice System [article],"Butler, Paul (Cited 981 times)",7162,"Yale Law Journal, Vol. 105, Issue 3 (December 1995), pp. 677-726",105 Yale L.J. 677 (December 1995),"Courts, Criminal Law and Procedure, Jury, Race",461,5,675
Poor People Lose: Gideon and the Critique of Rights [article],"Butler, Paul D. (Cited 981 times)",7162,"Yale Law Journal, Vol. 122, Issue 8 (June 2013), pp. 2176-2205",122 Yale L. J. 2176 (2012-2013),"Law and Society, Law Enforcement and Corrections, Organizations, Defendants, Professional Ethics",67,na,124
Much Respect: Toward a Hip-Hop Theory of Punishment [article],"Butler, Paul (Cited 981 times)",7162,"Stanford Law Review, Vol. 56, Issue 5 (April 2004), pp. 983-1016",56 Stan. L. Rev. 983 (April 2004),"Punishment, Law Enforcement and Corrections, Law and Society",59,na,156
Affirmative Action and the Criminal Law [article],"Butler, Paul (Cited 981 times)",7162,"University of Colorado Law Review, Vol. 68, Issue 4 (1997), pp. 841-890",68 U. Colo. L. Rev. 841 (1997),"Criminal Law and Procedure, Law and Society, Civil Rights, Communications Law",54,na,44
"Retribution, for Liberals [article]","Butler, Paul (Cited 981 times)",7162,"UCLA Law Review, Vol. 46, Issue 6 (August 1999), pp. 1873-1894",46 UCLA L. Rev. 1873 (August 1999),"Criminal Law, Statutory Construction, Constitutional Law, International Law, Jurisprudence, War",42,na,32
The System Is Working the Way It Is Supposed to: The Limits of Criminal Justice Reform [article],"Butler, Paul (Cited 981 times)",7162,"Georgetown Law Journal, Vol. 104, Issue 6 (August 2016), pp. 1419-1478",104 Geo. L.J. 1419 (August 2016),"Race and Ethnicity, Health Law, Criminal Law and Procedure, Law Enforcement",41,na,230
The Evil of American Criminal Justice: A Reply [comments],"Butler, Paul (Cited 981 times)",7162,"UCLA Law Review, Vol. 44, Issue 1 (October 1996), pp. 143-158",44 UCLA L. Rev. 143 (1996-1997),"Courts, Criminal Law and Procedure",35,na,17
By Any Means Necessary: Using Violence and Subversion to Change Unjust Law [article],"Butler, Paul (Cited 981 times)",7162,"UCLA Law Review, Vol. 50, Issue 3 (February 2003), pp. 721-774",50 UCLA L. Rev. 721 (2002-2003),"Jurisprudence, Law and Society, Violence, States, Legislation",28,na,47
Starr is to Clinton as Regular Prosecutors are to Blacks [article],"Butler, Paul (Cited 981 times)",7162,"Boston College Law Review, Vol. 40, Issue 3 (May 1999), pp. 705-716",40 B.C. L. Rev. 705 (1998-1999),"Courts, Criminal Law and Procedure, Civil Rights",27,na,12
When Judges Lie (and When They Should) [article],"Butler, Paul (Cited 981 times)",7162,"Minnesota Law Review, Vol. 91, Issue 6 (June 2007), pp. 1785-1828",91 Minn. L. Rev. 1785 (2006-2007),"Judges, Constitutional Law, Law and Society",26,1,19
