Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Clinical Education for This Millennium: The Third Wave [article],"Barry, Margaret Martin (Cited 558 times); Dubin, Jon C. (Cited 665 times); Joy, Peter A. (Cited 1184 times)",7468,"Clinical Law Review, Vol. 7, Issue 1 (Fall 2000), pp. 1-76",7 Clinical L. Rev. 1 (2000-2001),"Education Law, Legal Education, Social Justice, States",271,na,109
Relationship between Prosecutorial Misconduct and Wrongful Convictions: Shaping Remedies for a Broken System [article],"Joy, Peter A. (Cited 1184 times)",7468,"Wisconsin Law Review, Vol. 2006, Issue 2 (2006), pp. 399-430",2006 Wis. L. Rev. 399 (2006),"Misconduct, Remedies, Law Enforcement, Legal Profession, Discipline, Professional Ethics",85,1,395
Political Interference with Clinical Legal Education: Denying Access to Justice [comments],"Joy, Peter A. (Cited 1184 times)",7468,"Tulane Law Review , Vol. 74, Issue 1 (November 1999), pp. 235-284",74 Tul. L. Rev. 235 (1999-2000),"Education Law, Legal Education, Schools",48,na,18
The Evolution of ABA Standards for Clinical Faculty [article],"Joy, Peter A. (Cited 1184 times); Kuehn, Robert R. (Cited 415 times)",7468,"Tennessee Law Review, Vol. 75, Issue 2 (Winter 2008), pp. 183-232",75 Tenn. L. Rev. 183 (2007-2008),"Legal Education, Legal Profession, Education Law",42,na,16
"Ethics Critique of Interference in Law School Clinics, An [article]","Kuehn, Robert R. (Cited 415 times); Joy, Peter A. (Cited 1184 times)",7468,"Fordham Law Review, Vol. 71, Issue 5 (April 2003), pp. 1971-2050",71 Fordham L. Rev. 1971 (2002-2003),"Ethics, Legal Education, Students, Conflict of Interest, Interest",41,2,9
Conflict of Interest and Competency Issues in Law Clinic Practice [article],"Joy, Peter A. (Cited 1184 times); Kuehn, Robert R. (Cited 415 times)",7468,"Clinical Law Review, Vol. 9, Issue 1 (Fall 2002), pp. 493-578",9 Clinical L. Rev. 493 (2002-2003),"Conflict of Interest, Interest, Ethics, Students, Education Law, Legal Education",40,na,42
Making Ethics Opinions Meaningful: Toward More Effective Regulation of Lawyers' Conduct [article],"Joy, Peter A. (Cited 1184 times)",7468,"Georgetown Journal of Legal Ethics, Vol. 15, Issue 2 (Winter 2002), pp. 313-396",15 Geo. J. Legal Ethics 313 (2001-2002),"Attorneys, Ethics, Legal Analysis and Writing, Regulation, Professional Ethics",37,na,13
The Maccrate Report: Moving toward Integrated Learning Experiences [article],"Joy, Peter A. (Cited 1184 times)",7468,"Clinical Law Review, Vol. 1, Issue 2 (Fall 1994), pp. 401-410",1 Clinical L. Rev. 401 (1994-1995),Education Law,35,na,6
Reflection-in-Action: Designing New Clinical Teacher Training by Using Lessons Learned from New Clinicians [article],"Dunlap, Justine A. (Cited 168 times); Joy, Peter A. (Cited 1184 times)",7468,"Clinical Law Review, Vol. 11, Issue 1 (Fall 2004), pp. 49-114",11 Clinical L. Rev. 49 (2004-2005),"Professional Ethics, Legal Education, Education Law",33,na,11
Clinical Scholarship: Improving the Practice of Law [article],"Joy, Peter A. (Cited 1184 times)",7468,"Clinical Law Review, Vol. 2, Issue 2 (Spring 1996), pp. 385-412",2 Clinical L. Rev. 385 (1995-1996),"Education Law, Legal Education, Social Justice, States, Legal Profession, Students",31,na,14
The Law School Clinic as a Model Ethical Law Office [article],"Joy, Peter A. (Cited 1184 times)",7468,"William Mitchell Law Review, Vol. 30, Issue 1 (2003), pp. 35-50",30 Wm. Mitchell L. Rev. 35 (2003-2004),"Professional Ethics, Ethics, Students, Confidentiality",30,na,15
