Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Lasting Legislation [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"University of Pennsylvania Law Review, Vol. 159, Issue 4 (March 2011), pp. 1007-1068",159 U. Pa. L. Rev. 1007 (2010-2011),"Legislation, Politics",66,na,26
The Sun also Rises: The Political Economy of Sunset Provisions in the Tax Code [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Georgia Law Review, Vol. 40, Issue 2 (Winter 2006), pp. 335-406",40 Ga. L. Rev. 335 (2005-2006),"Legislation, Taxation-Federal Income",44,na,43
Listening to Congress: Earmark Rules and Statutory Interpretation [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Cornell Law Review, Vol. 94, Issue 3 (March 2009), pp. 519-586",94 Cornell L. Rev. 519 (2008-2009),"Legislation, Health Law, International Law",38,na,12
The Shell Bill Game: Avoidance and the Origination Clause [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Washington University Law Review, Vol. 91, Issue 3 (2014), pp. 659-720",91 Wash. U. L. Rev. 659 (2013-2014),"Constitutional Law, Legislation, Taxation-Federal Income",9,6,7
On the Constitutionality of Tax Treaties [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Yale Journal of International Law, Vol. 38, Issue 1 (Winter 2013), pp. 1-56",38 Yale J. Int'l L. 1 (2013),"Treaties, Constitutional Law, Legislation, Taxation-Federal Income",8,3,22
Penalty Default Interpretative Canons [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Brooklyn Law Review, Vol. 76, Issue 3 (Spring 2011), pp. 953-966",76 Brook. L. Rev. 953 (2010-2011),"Legislation, Statutory Interpretation, Jurisprudence",7,na,3
Reconciling Congress to Tax Reform [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Notre Dame Law Review, Vol. 88, Issue 5 (June 2013), pp. 2121-2156",88 Notre Dame L. Rev. 2121 (2012-2013),"Congress, Adoption",5,na,16
Interpreting Tax Treaties [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Iowa Law Review, Vol. 101, Issue 4 (May 2016), pp. 1387-1446",101 Iowa L. Rev. 1387 (2015-2016),"Treaties, Good Faith, Taxation",3,na,56
Tax Law and the Eroding Budget Process [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Law and Contemporary Problems, Vol. 81, Issue 2 (2018), pp. 61-98",81 Law & Contemp. Probs. 61 (2018),"Economics, Politics",1,na,37
Critiquing - and Repairing - the New International Tax Regime [article],"Kysar, Rebecca M. (Cited 185 times)",1104,"Yale Law Journal Forum, Vol. 128, pp. 339-361",128 Yale L.J. F. 339 (2018-2019),"Politics, Adoption, Economics, International Trade, Law and Society, Legal Analysis and Writing, Legal History, Legislation, Science and Technology, Secured Transactions",na,na,na
