Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Democratizing the Delivery of Legal Services [article],"Knake, Renee Newman (Cited 180 times)",2914,"Ohio State Law Journal, Vol. 73, Issue 1 (2012), pp. 1-46",73 Ohio St. L.J. 1 (2012),"Corporations, First Amendment, Legal Profession, Legal Services, Education, Legal Education",52,4,23
Attorney Advice and the First Amendment [article],"Knake, Renee Newman (Cited 180 times)",2914,"Washington and Lee Law Review, Vol. 68, Issue 2 (Spring 2011), pp. 639-716",68 Wash. & Lee L. Rev. 639 (2011),"First Amendment, Legal Profession, States, Evidence, Practice and Procedure",23,na,20
The Supreme Court's Increased Attention to the Law of Lawyering: Mere Coincidence or Something More [article],"Knake, Renee Newman (Cited 180 times)",2914,"American University Law Review, Vol. 59, Issue 6 (August 2010), pp. 1499-1574",59 Am. U. L. Rev. 1499 (2009-2010),"Legal Profession, Criminal Law and Procedure, Banking, Practice and Procedure, Social Welfare Law",22,na,1
Democratizing Legal Education [article],"Knake, Renee Newman (Cited 180 times)",2914,"Connecticut Law Review, Vol. 45, Issue 4 (May 2013), pp. 1281-1318",45 Conn. L. Rev. 1281 (May 2013),"Education, Legal Education, Ethics, Legal Ethics, Professional Ethics, Corporations, First Amendment, Legal Profession, Legal Services",17,na,13
"Rethinking Gender Equality in the Legal Profession's Pipeline to Power: A Study on Media Coverage of Supreme Court Nominees (Phase I, the Introduction Week) [article]","Brenner, Hannah (Cited 28 times); Knake, Renee Newman (Cited 180 times)",2914,"Temple Law Review, Vol. 84, Issue 2 (Winter 2012), pp. 325-384",84 Temp. L. Rev. 325 (2011-2012),"Gender, Judges, Legal Profession, Women, General",13,na,39
"Legal Information, the Consumer Law Market, and the First Amendment [article]","Knake, Renee Newman (Cited 180 times)",2914,"Fordham Law Review, Vol. 82, Issue 6 (May 2014), pp. 2843-2868",82 Fordham L. Rev. 2843 (2013-2014),"First Amendment, Commercial Speech",9,na,9
Cultivating Learners Who Will Invent the Future of Law Practice: Some Thoughts on Educating Entrepreneurial and Innovative Lawyers [article],"Knake, Renee Newman (Cited 180 times)",2914,"Ohio Northern University Law Review, Vol. 38, Issue 3 (2012), pp. 847-854",38 Ohio N.U. L. Rev. 847 (2011-2012),"Education, Malpractice, Medical Malpractice, Home Rule, Judges, State and Local Government Law",8,na,13
Beyond Atticus Finch: Lessons on Ethics and Morality from Lawyers and Judges in Postcolonial Literature [article],"Knake, Renee Newman (Cited 180 times)",2914,"Journal of the Legal Profession, Vol. 32, pp. 37-66",32 J. Legal Prof. 37 (2008),"Law and Society, Legal Profession, Professional Ethics, Criminal Law and Procedure, Race and Ethnicity",6,na,30
What We Know and Need to Know about the State of Access to Justice Research [comments],"Chambliss, Elizabeth (Cited 594 times); Knake, Renee Newman (Cited 180 times); Nelson, Robert L. (Cited 676 times)",2914,"South Carolina Law Review, Vol. 67, Issue 2 (Winter 2016), pp. 193-202",67 S. C. L. Rev. 193 (2015-2016),"Research, Government, Legal Aid, Veterans, Civil Rights",6,na,70
Gender and the Legal Profession's Pipeline to Power [article],"Brenner, Hannah (Cited 28 times); Knake, Renee Newman (Cited 180 times)",2914,"Michigan State Law Review, Vol. 2012, Issue 5 (2012), pp. 1419-1432",2012 Mich. St. L. Rev. 1419 (2012),"Gender, Legal Profession, Discrimination, Employment, Employment Discrimination, Employment Practice, Ethics, Professional Ethics, Law and Society, Model Rules of Professional Conduct",4,na,9
