Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Storytelling for Oppositionists and Others: A Plea for Narrative [article],"Delgado, Richard (Cited 8700 times)",4489,"Michigan Law Review, Vol. 87, Issue 8 (August 1989), pp. 2411-2441",87 Mich. L. Rev. 2411 (1988-1989),"Jurisprudence, Criminal Law and Procedure, Legal Profession",845,na,198
"Words That Wound: A Tort Action for Racial Insults, Epithets, and Name-Calling [article]","Delgado, Richard (Cited 8700 times)",4489,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 17, Issue 1 (Spring 1982), pp. 133-182",17 Harv. C. R.-C. L. L. Rev. 133 (1982),"Civil Rights, Constitutional Law, Education, First Amendment, Harassment, Liberty",564,8,222
Fairness and Formality: Minimizing the Risk of Prejudice in Alternative Dispute Resolution [article],"Delgado, Richard (Cited 8700 times); Dunn, Chris (Cited 467 times); Brown, Pamela (Cited 467 times); Lee, Helena (Cited 467 times)",4489,"Wisconsin Law Review, Vol. 1985, Issue 6 (1985), pp. 1359-1404",1985 Wis. L. Rev. 1359 (1985),"Dispute Resolution, Arbitration, Corporations",467,1,312
Imperial Scholar: Reflections On a Review of Civil Rights Literature [comments],"Delgado, Richard (Cited 8700 times)",4489,"University of Pennsylvania Law Review, Vol. 132, Issue 3 (March 1984), pp. 561-578",132 U. Pa. L. Rev. 561 (1983-1984),"Civil Rights, Literature, Legal Writing",393,na,129
Images of the Outsider in American Law and Culture: Can Free Expression Remedy Systemic Social Ills [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",4489,"Cornell Law Review, Vol. 77, pp. 1258-1297",77 Cornell L. Rev. 1258 (1991-1992),"Civil Rights, Constitutional Law, Evidence, Pornography, Women, Politics",271,na,102
Campus Antiracism Rules: Constitutional Narratives in Collision [article],"Delgado, Richard (Cited 8700 times)",4489,"Northwestern University Law Review , Vol. 85, Issue 2 , pp. 343-387",85 Nw. U. L. Rev. 343 (1990-1991),"Constitutional Law, Education, Constitutional Rights, Freedom of Speech",240,na,44
The Ethereal Scholar: Does Critical Legal Studies Have What Minorities Want [article],"Delgado, Richard (Cited 8700 times)",4489,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 22, Issue 2 (Spring 1987), pp. 301-322",22 Harv. C.R.-C.L. L. Rev. 301 (Spring 1987),"Minorities, Philosophy, History, Legal History, Torts",228,na,163
When a Story Is Just a Story: Does Voice Really Matter [article],"Delgado, Richard (Cited 8700 times)",4489,"Virginia Law Review, Vol. 76, Issue 1 (February 1990), pp. 95-112",76 Va. L. Rev. 95 (1990),"Civil Rights, Legal Writing, Law and Society, Legal Analysis and Writing, Race, Legal Education",227,na,42
Critical Race Theory: An Annotated Bibliography [article],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",4489,"Virginia Law Review, Vol. 79, Issue 2 (March 1993), pp. 461-516",79 Va. L. Rev. 461 (March 1993),"Bibliographies, Jurisprudence, Race",166,na,88
Beyond Sindell: Relaxation of Cause-In-Fact Rules for Indeterminate Plaintiffs [article],"Delgado, Richard (Cited 8700 times)",4489,"California Law Review, Vol. 70, Issue 4 (July 1982), pp. 881-908",70 Calif. L. Rev. 881 (1982),"Plaintiffs, Laboratories, Liability",152,5,5
"Affirmative Action as a Majoritarian Device: Or, Do You Really Want to Be a Role Model [article]","Delgado, Richard (Cited 8700 times)",4489,"Michigan Law Review, Vol. 89, Issue 5 (March 1991), pp. 1222-1232",89 Mich. L. Rev. 1222 (1990-1991),"Affirmative Action, Jurisprudence, Legal Education, Civil Rights",146,na,60
On Telling Stories in School: A Reply to Farber and Sherry [comments],"Delgado, Richard (Cited 8700 times)",4489,"Vanderbilt Law Review, Vol. 46, Issue 3 (April 1993), pp. 665-676",46 Vand. L. Rev. 665 (1993),"Jurisprudence, Law and Society, Legal Education",132,na,29
"Imperial Scholar Revisited: How to Marginalize Outsider Writing, Ten Years Later [article]","Delgado, Richard (Cited 8700 times)",4489,"University of Pennsylvania Law Review, Vol. 140, Issue 4 (April 1992), pp. 1349-1372",140 U. Pa. L. Rev. 1349 (1991-1992),"Civil Rights, Legal Writing, Law and Society, Politics, Constitutional Law, Education, Legal Education",132,na,6
Rodrigo's Chronicle [reviews],"Delgado, Richard (Cited 8700 times)",4489,"Yale Law Journal, Vol. 101, Issue 6 (April 1992), pp. 1357-1384",101 Yale L.J. 1357 (1991-1992),"Education, Law and Society, Civil Rights, Neutrality, Race",125,na,16
Norms and Narratives: Can Judges Avoid Serious Moral Error [comments],"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)",4489,"Texas Law Review, Vol. 69, Issue 7 (June 1991), pp. 1929-1984",69 Tex. L. Rev. 1929 (June 1991),"Judges, Jurisprudence, Literature, Ethics",118,na,17
Minority Law Professors' Lives: The Bell-Delgado Survey [article],"Delgado, Richard (Cited 8700 times)",4489,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 24, Issue 2 (Spring 1989), pp. 349-392",24 Harv. C.R.-C.L. L. Rev. 349 (1989),"Civil Rights, Legal Education, Teachers, Minorities, Education, Race, Sex",118,na,23
"Rodrigo's Fifteenth Chronicle: Racial Mixture, Latino-Critical Scholarship, and the Black-White Binary [reviews]","Delgado, Richard (Cited 8700 times)",4489,"Texas Law Review, Vol. 75, Issue 5 , pp. 1181-1202",75 Tex. L. Rev. 1181 (1996-1997),"Judges, Jurisprudence, Race, Law and Society",107,na,26
Derrick Bell and the Ideology of Racial Reform: Will We Ever Be Saved [reviews],"Delgado, Richard (Cited 8700 times)",4489,"Yale Law Journal, Vol. 97, Issue 5 (April 1988), pp. 923-948",97 Yale L.J. 923 (April 1988),"Jurisprudence, Law and Society, Civil Rights, Constitutional Law, Desegregation, Education, States",104,na,24
