Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Litigation, Legislation, and Democracy in a Post-Newspaper America [article]","Jones, RonNell Andersen (Cited 170 times)",94,"Washington and Lee Law Review, Vol. 68, Issue 2 (Spring 2011), pp. 557-638",68 Wash. & Lee L. Rev. 557 (2011),"Communications Law, Freedom of Information, Open Meetings, Politics, First Amendment, Corporations",27,na,18
Avalanche or Undue Alarm - An Empirical Study of Subpoenas Received by the News Media [article],"Jones, RonNell Andersen (Cited 170 times)",94,"Minnesota Law Review, Vol. 93, Issue 2 (December 2008), pp. 585-669",93 Minn. L. Rev. 585 (2008-2009),"Communications Law, Criminal Law and Procedure, Evidence, News Reporters, Privileged Communications, Shield Laws, First Amendment",25,na,6
"Media Subpoenas: Impact, Perception, and Legal Protection in the Changing World of American Journalism [article]","Jones, RonNell Andersen (Cited 170 times)",94,"Washington Law Review , Vol. 84, Issue 3 (August 2009), pp. 317-418",84 Wash. L. Rev. 317 (2009),"Communications Law, First Amendment, News Reporters, Privileged Communications, Shield Laws, Subpoenas, Education Law, High School",19,na,18
Rethinking Reporter's Privilege [article],"Jones, RonNell Andersen (Cited 170 times)",94,"Michigan Law Review, Vol. 111, Issue 7 (May 2013), pp. 1221-1282",111 Mich. L. Rev. 1221 (2012-2013),"News Reporters, Privileged Communications, Shield Laws, First Amendment, Constitutional Law, Criminal Law and Procedure",17,na,34
What the Supreme Court Thinks of the Press and Why It Matters [article],"Jones, RonNell Andersen (Cited 170 times)",94,"Alabama Law Review, Vol. 66, Issue 2 (2014), pp. 253-272",66 Ala. L. Rev. 253 (2014),"Judges, Communications Law, Freedom of the Press, Jurisprudence, News Reporters, Privileged Communications, Shield Laws",17,na,23
Reflections on Arizona's Judicial Selection Process [comments],"O'Connor, Sandra Day (Cited 1048 times); Jones, RonNell Andersen (Cited 170 times)",94,"Arizona Law Review , Vol. 50, Issue 1 (2008), pp. 15-24",50 Ariz. L. Rev. 15 (2008),"Judges, Merit Selection, Money, Politics",11,na,7
U.S. Supreme Court Justices and Press Access [article],"Jones, RonNell Andersen (Cited 170 times)",94,"Brigham Young University Law Review, Vol. 2012, Issue 6 (2012), pp. 1791-1818",2012 BYU L. Rev. 1791 (2012),"Communications Law, First Amendment, News Media, Oral Argument, Research, Judges",10,na,11
The Dangers of Press Clause Dicta [comments],"Jones, RonNell Andersen (Cited 170 times)",94,"Georgia Law Review, Vol. 48, Issue 3 (Spring 2014), pp. 705-728",48 Ga. L. Rev. 705 (Spring 2014),"First Amendment, Communications Law, Politics, Campaign Finance",10,na,9
Of Reasonable Readers and Unreasonable Speakers: Libel Law in a Networked World [article],"Lidsky, Lyrissa Barnett (Cited 656 times); Jones, RonNell Andersen (Cited 170 times)",94,"Virginia Journal of Social Policy & the Law, Vol. 23, Issue 2 (Spring 2016), pp. 155-178",23 Va. J. Soc. Pol'y & L. 155 (2016),"Communications Law, Science and Technology, Torts, Colleges and Universities, Employment Practice, Labor Law, Privacy, Social Media, Sports, Students",8,na,29
"Pick Your Poison: Private Speech, Government Speech, and the Special Problem of Religious Displays [article]","Jones, RonNell Andersen (Cited 170 times)",94,"Brigham Young University Law Review, Vol. 2010, Issue 6 (2010), pp. 2045-2070",2010 BYU L. Rev. 2045 (2010),"First Amendment, Government, Religion",7,na,3
