Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"New Pleading, New Discovery [article]","Dodson, Scott (Cited 600 times)",4153,"Michigan Law Review, Vol. 109, Issue 1 (October 2010), pp. 53-90",109 Mich. L. Rev. 53 (2010-2011),"Discovery, Practice and Procedure, Legal History, Revolution, Jurisdiction",66,8,11
The Complexity of Jurisdictional Clarity [article],"Dodson, Scott (Cited 600 times)",4153,"Virginia Law Review, Vol. 97, Issue 1 (March 2011), pp. 1-60",97 Va. L. Rev. 1 (2011),"Courts, International Trade, Jurisdiction, States, Practice and Procedure",65,2,22
Mandatory Rules [article],"Dodson, Scott (Cited 600 times)",4153,"Stanford Law Review , Vol. 61, Issue 1 (October 2008), pp. 1-36",61 Stan. L. Rev. 1 (October 2008),"Jurisdiction, Practice and Procedure, Administration Law, Agency",45,4,51
In Search of Removal Jurisdiction [article],"Dodson, Scott (Cited 600 times)",4153,"Northwestern University Law Review, Vol. 102, Issue 1 (2008), pp. 55-90",102 Nw. U. L. Rev. 55 (2008),"Jurisdiction, Congress, Politics, States",42,2,15
Comparative Convergences in Pleading Standards [article],"Dodson, Scott (Cited 600 times)",4153,"University of Pennsylvania Law Review, Vol. 158, Issue 2 (January 2010), pp. 441-472",158 U. Pa. L. Rev. 441 (2009-2010),"Civil Procedure, Legal History, Pleadings, Procedure, Practice and Procedure, Civil Law, Common Law",40,na,8
Hybridizing Jurisdiction [article],"Dodson, Scott (Cited 600 times)",4153,"California Law Review, Vol. 99, Issue 6 (2011), pp. 1439-1484",99 Calif. L. Rev. 1439 (2011),"Jurisdiction, Practice and Procedure",29,2,12
Federal Pleading and State Presuit Discovery [article],"Dodson, Scott (Cited 600 times)",4153,"Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 43-64",14 Lewis & Clark L. Rev. 43 (2010),"Discovery, Practice and Procedure, Summary Judgment",28,na,8
Party Subordinance in Federal Litigation [article],"Dodson, Scott (Cited 600 times)",4153,"George Washington Law Review, Vol. 83, Issue 1 (December 2014), pp. 1-55",83 Geo. Wash. L. Rev. 1 (December 2014),"Practice and Procedure, Judges, Judicial Discretion, Procedure, Civil Procedure, Contracts",20,2,15
A New Look Dismissal Rates of Federal Civil Claims [article],"Dodson, Scott (Cited 600 times)",4153,"Judicature, Vol. 96, Issue 3 (November-December 2012), pp. 127-135",96 Judicature 127 (November-December 2012),"International Trade, Discrimination, Environment, Gender, Harassment, Sexual Harassment, Work Environment, Courts, Practice and Procedure",17,na,13
The Challenge of Comparative Civil Procedure [comments],"Dodson, Scott (Cited 600 times)",4153,"Alabama Law Review , Vol. 60, Issue 1 (2008), pp. 133-150",60 Ala. L. Rev. 133 (2008-2009),"Civil Procedure, Comparative Law, Practice and Procedure, Procedure, Labor Law",16,na,23
A Darwinist View of the Living Constitution [article],"Dodson, Scott (Cited 600 times)",4153,"Vanderbilt Law Review, Vol. 61, Issue 5 (October 2008), pp. 1319-1350",61 Vand. L. Rev. 1319 (2008),"Constitutional Law, Jurisprudence, Practice and Procedure",15,na,17
The Gravitational Force of Federal Law [article],"Dodson, Scott (Cited 600 times)",4153,"University of Pennsylvania Law Review, Vol. 164, Issue 3 (February 2016), pp. 703-754",164 U. Pa. L. Rev. 703 (2015-2016),"Constitutional Law, Jurisprudence, State and Local Government Law, Statute of Limitations, Conflict of Laws, International Law",15,na,29
Dignity: The New Frontier of State Sovereignty [article],"Dodson, Scott (Cited 600 times)",4153,"Oklahoma Law Review, Vol. 56, Issue 4 (Winter 2003), pp. 777-832",56 Okla. L. Rev. 777 (2003),"Constitutional Law, Jurisdiction, International Law, Practice and Procedure",14,2,5
The Peculiar Federal Marriage Amendment [article],"Dodson, Scott (Cited 600 times)",4153,"Arizona State Law Journal, Vol. 36, Issue 3 (Fall 2004), pp. 783-804",36 Ariz. St. L.J. 783 (Fall 2004),"Domestic Relations, Jurisdiction, Marriage, Abortion, Constitutional Law, States",13,na,8
