Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Boumediene's Quiet Theory: Access to Courts and the Separation of Powers [article],"Vladeck, Stephen I. (Cited 793 times)",4898,"Notre Dame Law Review, Vol. 84, Issue 5 (July 2009), pp. 2107-2150",84 Notre Dame L. Rev. 2107 (2008-2009),"Remedies, Criminal Law and Procedure, Military, War and Peace, Constitutional Law",56,na,21
Emergency Power and the Militia Acts [notes],"Vladeck, Stephen I. (Cited 793 times)",4898,"Yale Law Journal, Vol. 114, Issue 1 (October 2004), pp. 149-194",114 Yale L.J. 149 (October 2004),"Constitutional Law, Military Law, Commander in Chief",55,na,14
The D.C. Circuit after Boumediene [article],"Vladeck, Stephen I. (Cited 793 times)",4898,"Seton Hall Law Review, Vol. 41, Issue 4 (2011), pp. 1451-1490",41 Seton Hall L. Rev. 1451 (2011),"Courts, Jurisprudence, Conflict of Laws",48,2,18
The Detention Power [notes],"Vladeck, Stephen I. (Cited 793 times)",4898,"Yale Law & Policy Review, Vol. 22, Issue 1 (Winter 2004), pp. 153-196",22 Yale L. & Pol'y Rev. 153 (2004),"Detention, Military Law, Due Process, Judicial Review, War",39,na,8
The New Habeas Revisionism [reviews],"Vladeck, Stephen I. (Cited 793 times)",4898,"Harvard Law Review, Vol. 124, Issue 4 (February 2011), pp. 941-993",124 Harv. L. Rev. 941 (February 2011),"Comparative Law, Constitutional Law, Legal History, Habeas Corpus, Remedies",33,na,7
"Deconstructing Hirota: Habeas Corpus, Citizenship, and Article III [article]","Vladeck, Stephen I. (Cited 793 times)",4898,"Georgetown Law Journal , Vol. 95, Issue 5 (June 2007), pp. 1497-1554",95 Geo. L.J. 1497 (June 2007),"Remedies, Jurisdiction, Military, War and Peace, International Law",33,na,3
"State Law, the Westfall Act, and the Nature of the Bivens Question [article]","Vazquez, Carlos M. (Cited 1530 times); Vladeck, Stephen I. (Cited 793 times)",4898,"University of Pennsylvania Law Review, Vol. 161, Issue 2 (January 2013), pp. 509-584",161 U. Pa. L. Rev. 509 (2012-2013),"Contracts, Government, Constitutional Rights, Law Enforcement, Remedies",29,2,26
"Congress, the Commander-in-Chief, and the Separation of Powers after Hamden [article]","Vladeck, Stephen I. (Cited 793 times)",4898,"Transnational Law & Contemporary Problems, Vol. 16, Issue 3 (Spring 2007), pp. 933-964",16 Transnat'l L. & Contemp. Probs. 933 (Spring 2007),"Military Law, Courts, International Law",28,na,16
Suspension Clause as a Structural Right [article],"Vladeck, Stephen I. (Cited 793 times)",4898,"University of Miami Law Review, Vol. 62, Issue 2 (January 2008), pp. 275-306",62 U. Miami L. Rev. 275 (2007-2008),"Constitutional Law, Habeas Corpus, Remedies, Due Process, Fifth Amendment",26,na,10
The Espionage Act and National Security Whistleblowing after Garcetti [article],"Vladeck, Stephen I. (Cited 793 times)",4898,"American University Law Review , Vol. 57, Issue 5 (June 2008), pp. 1531-1546",57 Am. U. L. Rev. 1531 (2007-2008),"Employment Practice, Espionage, National Security, Communications Law, Freedom of the Press, Liability, Democracy, Labor Law, Military, War and Peace, Whistleblowers",26,na,33
