Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
International Soft Law [article],"Guzman, Andrew T. (Cited 2117 times); Meyer, Timothy L. (Cited 197 times)",7702,"Journal of Legal Analysis, Vol. 2, Issue 1 (Spring 2010), pp. 171-[ii]",2 J. Legal Analysis 171 (Spring 2010),"Law and Society, International Law, Military, War and Peace, Water",56,na,213
"Federalism and Accountability: State Attorneys General, Regulatory Litigation, and the New Federalism [comments]","Meyer, Timothy (Cited 197 times)",7702,"California Law Review, Vol. 95, Issue 3 (June 2007), pp. 885-914",95 Calif. L. Rev. 885 (June 2007),"Attorneys, Attorneys General, Federalism, General, Jurisdiction, Constitutional Law, Jurisprudence, Tobacco",25,na,15
Codifying Custom [article],"Meyer, Timothy (Cited 197 times)",7702,"University of Pennsylvania Law Review, Vol. 160, Issue 4 (March 2012), pp. 995-1070",160 U. Pa. L. Rev. 995 (2011-2012),"International Law, State, The, Arbitration, Customary Law, Foreign Investment, Treaties, World Trade Organization",22,na,32
"Power, Exit Costs, and Renegotiation in International Law [article]","Meyer, Timothy (Cited 197 times)",7702,"Harvard International Law Journal, Vol. 51, Issue 2 (Summer 2010), pp. 379-426",51 Harv. Int'l L.J. 379 (2010),"Dispute Resolution, International Law, Contracts, Legal Analysis and Writing",17,na,53
Soft Law as Delegation [article],"Meyer, Timothy (Cited 197 times)",7702,"Fordham International Law Journal, Vol. 32, Issue 3 (February 2009), pp. 888-942",32 Fordham Int'l L.J. 888 (2008-2009),"Soft Law, Law and Society, International Law",16,na,35
International Common Law: The Soft Law of International Tribunals [article],"Guzman, Andrew T. (Cited 2117 times); Meyer, Timothy L. (Cited 197 times)",7702,"Chicago Journal of International Law, Vol. 9, Issue 2 (Winter 2009), pp. 515-536",9 Chi. J. Int'l L. 515 (2008-2009),"Law and Society, Water, International Law, Military, War and Peace",15,na,na
Saving the Political Consensus in Favor of Free Trade [comments],"Meyer, Timothy (Cited 197 times)",7702,"Vanderbilt Law Review, Vol. 70, Issue 3 (April 2017), pp. 985-1026",70 Vand. L. Rev. 985 (2017),"Economics, International Trade, Human Rights, Gender, Neutrality",8,na,58
How Local Discrimination Can Promote Global Public Goods [article],"Meyer, Timothy (Cited 197 times)",7702,"Boston University Law Review, Vol. 95, Issue 6 (December 2015), pp. 1937-2026",95 B.U. L. Rev. 1937 (2015),"Discrimination, International Trade, State and Local Government Law, Electricity, European Union, Government, World Trade Organization, Subsidies",6,na,22
Restoring Trade's Social Contract [article],"Garcia, Frank J. (Cited 319 times); Meyer, Timothy (Cited 197 times)",7702,"Michigan Law Review Online, Vol. 116, pp. 78-100",116 MLR Online 78 (2017 ),"International Trade, Environment, Labor, Labor Law, Regulation",5,na,4
How Compliance Understates Effectiveness [article],"Meyer, Timothy (Cited 197 times)",7702,"AJIL Unbound, Vol. 108, pp. 93-98",108 AJIL Unbound 93 (2014-2015),"International Law, International Court of Justice, Copyright",3,na,5
