Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Dynamic Federalism and Patent Law Reform [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"Indiana Law Journal , Vol. 85, Issue 2 (Spring 2010), pp. 449-490",85 Ind. L.J. 449 (2010),"Federalism, Intellectual Property Law, Law Reform, Judges, Legislation, Injunctions",33,na,6
Collateralizing Intellectual Property [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"Georgia Law Review, Vol. 42, Issue 1 (Fall 2007), pp. 1-46",42 Ga. L. Rev. 1 (2007-2008),"Intellectual Property, Intellectual Property Law, Property, Banking, Commercial Law",24,na,28
Equity and Efficiency in Intellectual Property Taxation [article],"Nguyen, Xuan-Thao (Cited 177 times); Maine, Jeffrey A. (Cited 118 times)",8686,"Brooklyn Law Review, Vol. 76, Issue 1 (Fall 2010), pp. 1-64",76 Brook. L. Rev. 1 (2010-2011),"Equity, Intellectual Property, Intellectual Property Law, Property, Taxation, Taxation-Federal Income, Jurisprudence",15,1,20
The China We Hardly Know: Revealing the New China's Intellectual Property Regime [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"Saint Louis University Law Journal, Vol. 55, Issue 3 (Spring 2011), pp. 773-810",55 St. Louis U. L.J. 773 (2010-2011),"Comparative Law, Intellectual Property Law, Industrial and Intellectual Property, Intangible Property",14,na,58
Acquiring Innovation [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"American University Law Review , Vol. 57, Issue 4 (April 2008), pp. 775-820",57 Am. U. L. Rev. 775 (2007-2008),"Intellectual Property Law, Taxation-Federal Income, Health, Public Finance",13,na,21
Giving Intellectual Property [article],"Nguyen, Xuan-Thao (Cited 177 times); Maine, Jeffrey A. (Cited 118 times)",8686,"U.C. Davis Law Review, Vol. 39, Issue 5 (June 2006), pp. 1721-1772",39 U.C. Davis L. Rev. 1721 (June 2006),"Economics, Intellectual Property Law, Colleges and Universities, Genetics, Industrial and Intellectual Property",12,na,9
The History of Intellectual Property Taxation: Promoting Innovation and Other Intellectual Property Goals [article],"Nguyen, Xuan-Thao (Cited 177 times); Maine, Jeffrey A. (Cited 118 times)",8686,"SMU Law Review, Vol. 64, Issue 3 (Summer 2011), pp. 795-858",64 S.M.U. L. Rev. 795 (2011),"History, Intellectual Property, Property, Taxation, Taxation-Federal Income",10,na,26
Fame Law: Requiring Proof of National Fame in Trademark Law [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"Cardozo Law Review, Vol. 33, Issue 1 (October 2011), pp. 89-124",33 Cardozo L. Rev. 89 (October 2011),"Proof, Trademarks, European Union, States",8,na,8
Intellectual Property Financing: Security Interests in Domain Names and Web Contents [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"Texas Wesleyan Law Review, Vol. 8, Issue 3 (Symposium 2002), pp. 489-504",8 Tex. Wesleyan L. Rev. 489 (2001-2002),"Banking, Commercial Law, Intellectual Property, Names, Property, Security Interests, Computer Law, Internet",7,na,3
Apologies as Intellectual Property Remedies: Lessons from China [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"Connecticut Law Review, Vol. 44, Issue 3 (February 2012), pp. 883-924",44 Conn. L. Rev. 883 (February 2012),"Apologies, Evidence, Intellectual Property Law, States, Compensatory Damages, Damages, Defamation, Dispute Resolution, Jurisprudence, Punitive Damages",5,na,13
Patent Prudential Standing [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"George Mason Law Review, Vol. 21, Issue 1 (Fall 2013), pp. 17-58",21 Geo. Mason L. Rev. 17 (Fall 2013),"Intellectual Property Law, Practice and Procedure, Standing, Jurisdiction",5,na,13
In the Name of Patent Stewardship: The Federal Circuit's Overreach into Commercial Law [article],"Nguyen, Xuan-Thao (Cited 177 times)",8686,"Florida Law Review, Vol. 67, Issue 1 (January 2015), pp. 127-170",67 Fla. L. Rev. 127 (2015),"Bankruptcy Law, Commercial Law, Intellectual Property Law, Jurisdiction, Practice and Procedure, Revolution",4,na,10
