,Min List Name,Data List Name,Min List School,Data List School,Fuzz Ratio
0,Peggy Cooper Davis,Peggy Davis,New York Univ ,New York University School of Law,76
1,David Min,David Lipton,Cal. Irvine ,"The Catholic University of America, Columbus School of Law",76
2,Joshua Sellers,Joshua Dressler,Ariz. state ,"The Ohio State University, Michael E. Moritz College of Law",76
3,Jean Teresa Ramirez,Jean Ramirez,San Diego ,University of San Diego School of Law,77
4,Richard Albert,Richard Dole,Univ. of Texas ,University of Houston Law Center,77
5,Barbara Creel,Barbara Welke,New Mexico ,University of Minnesota Law School,77
6,James B. Jr. Hughes,James Hughes,Emory ,Emory University School of Law,77
7,Gabriel “Jack” Chin,Gabriel Chin,UC Davis,"University of California, Davis, School of Law",77
8,Barbara Creel,Barbara Welke,New Mexico ,University of Minnesota Law School,77
9,Keith Norman Hylton,Keith Hylton,Boston Univ. ,Boston University School of Law,77
10,Catherine Y. Kim,Catherine Klein,Univ. of North Car. ,"The Catholic University of America, Columbus School of Law",77
11,Fernanda Giorgia Nicola,Fernanda Nicola,American ,"American University, Washington College of Law",79
12,Emily M.S. Houh,Emily Houh,Cincinnati ,University of Cincinnati College of Law,80
13,Charles R.. Ill Lawrence,Charles Lawrence,Hawaii ,"University of Hawaii, William S. Richardson School of Law",80
14,Berta E. Hcmandez-Truyol,Berta Hernandez-Truyol,Univ. of Florida ,University of Florida Fredric G. Levin College of Law,83
15,Darren Lenard Hutchinson,Darren Hutchinson,Univ. of Florida ,University of Florida Fredric G. Levin College of Law,83
16,Frank H. Wu,Frank Wu,UC Hastings,"University of California, Hastings College of the Law",84
17,Peter K. Yu,Peter Yu,Texas A&M ,Texas A&M University School of Law,84
18,Jan C. Ting,Jan Ting,Temple ,"Temple University, James E. Beasley School of Law",84
19,Pat K. Chew,Pat Chew,Pittsburgh ,University of Pittsburgh School of Law,84
20,Mary D. Fan,Mary Fan,Wash.. Seattle ,University of Washington School of Law,84
21,Mary D. Fan,Mary Fan,Wash.. Seattle ,University of Washington School of Law,84
22,Dalie Jimenez,Dalié Jiménez,Cal. Irvine,"University of California, Irvine School of Law",85
23,Anthony Paul Farley,Anthony Farley,Albany ,Albany Law School,85
24,Darrell A.H. Miller,Darrell Miller,Duke ,Duke University School of Law,85
25,L. Song. Cal. Richardson,L. Song Richardson,Irvine ,"University of California, Irvine School of Law",86
26,W. B. Carter,W. Carter,George Washington ,The George Washington University Law School,86
27,Alex L. Wang,Alex Wang,U.C.L.A. ,"University of California, Los Angeles School of Law",86
28,Brant T. Lee,Brant Lee,Akron ,University of Akron School of Law,86
29,Matthew L.M. Fletcher,Matthew Fletcher,Mich. state ,Michigan State University College of Law,86
30,Jon C. Dubin,Jon Dubin,Rutgers ,Rutgers Law School,86
31,Ellen L. Yee,Ellen Yee,Drake ,Drake University Law School,86
32,Jon C. Dubin,Jon Dubin,Rutgers ,Rutgers Law School,86
33,Alan K. Chen,Alan Chen,Denver ,University of Denver Sturm College of Law,86
34,Ved P. Nanda,Ved Nanda,Denver ,University of Denver Sturm College of Law,86
35,David B. Cruz,David Cruz,Southern Cal. ,University of Southern California Gould School of Law,87
36,Thomas W. Joo,Thomas Joo,UC Davis,"University of California, Davis, School of Law",87
37,Albert C. Lin,Albert Lin,UC Davis,"University of California, Davis, School of Law",87
38,Joseph P. Liu,Joseph Liu,Boston Coll. ,Boston College Law School,87
39,Alfred C. Yen,Alfred Yen,Boston Coll. ,Boston College Law School,87
40,Allen R. Moye,Allen Moye,DePaul ,DePaul University College of Law,87
41,Connie M.V. de la Vega,Connie de la Vega,San Francisco ,University of San Francisco School of Law,87
42,Lea B. Vaughn,Lea Vaughn,Wash. Seattle,University of Washington School of Law,87
43,Wendy T. Ross,Wendy Ross,Texas Tech ,Texas Tech University School of Law,87
44,Sean M. Scott,Sean Scott,Loyola. Los Angeles ,"Loyola Law School, Los Angeles",87
45,Lea B. Vaughn,Lea Vaughn,Wash. Seattle,University of Washington School of Law,87
46,Ozan O. Varol,Ozan Varol,Lewis & Clark ,Lewis and Clark Law School,87
47,Vikram D. Amar,Vikram Amar,Illinois ,University of Illinois College of Law,88
48,Suja A. Thomas,Suja Thomas,Illinois ,University of Illinois College of Law,88
49,Paul F. Campos,Paul Campos,Colorado ,University of Colorado Law School,88
50,Peter H. Huang,Peter Huang,Colorado ,University of Colorado Law School,88
51,Karen B. Brown,Karen Brown,George Washington ,The George Washington University Law School,88
52,Susan R. Jones,Susan Jones,George Washington ,The George Washington University Law School,88
53,Kevin E. Davis,Kevin Davis,New York Univ ,New York University School of Law,88
54,Steven A. Dean,Steven Dean,Brooklyn ,Brooklyn Law School,88
55,Ragini N. Shah,Ragini Shah,Suffolk ,Suffolk University Law School,88
56,Laura E. Gomez,Laura Gomez,U.C.L.A. ,"University of California, Los Angeles School of Law",88
57,Celesiina L. Contreras,Celestina Contreras,Texas A&M ,Texas A&M University School of Law,88
58,Luz E. Herrera,Luz Herrera,Texas A&M ,Texas A&M University School of Law,88
59,Renee M. Jones,Renee Jones,Boston Coll. ,Boston College Law School,88
60,Pauline T. Kim,Pauline Kim,Wash. St. Louis,Washington University in St. Louis School of Law,88
61,Atiba R. Ellis,Atiba Ellis,Marquette ,Marquette University Law School,88
62,Kali N. Murray,Kali Murray,Marquette ,Marquette University Law School,88
63,Veronica Aoki Santarosa,Veronica Santarosa,Michigan ,The University of Michigan Law School,88
64,Ronald K. Chen,Ronald Chen,Rutgers ,Rutgers Law School,88
65,Suzanne A. Kim,Suzanne Kim,Rutgers ,Rutgers Law School,88
66,Twila L. Perry,Twila Perry,Rutgers ,Rutgers Law School,88
67,Christopher Ruiz Cameron,Christopher Cameron,Southwestern ,Southwestern Law School,88
68,Roman J. Hoyos,Roman Hoyos,Southwestern ,Southwestern Law School,88
69,Alice G. Abreu,Alice Abreu,Temple ,"Temple University, James E. Beasley School of Law",88
70,JoAnne A. Epps,JoAnne Epps,Temple ,"Temple University, James E. Beasley School of Law",88
71,Salil K. Mehra,Salil Mehra,Temple ,"Temple University, James E. Beasley School of Law",88
72,Carol N. Brown,Carol Brown,Richmond ,The University of Richmond School of Law,88
73,Kevin D. Brown,Kevin Brown,Ind. Maurer,Indiana University Maurer School of Law,88
