,Min List Name,Data List Name,Min List School,Data List School,Fuzz Ratio
0,Margaret Chon,Margaret Raymond,Seattle ,University of Wisconsin Law School,76
1,Catherine L. Wilson,Catherine Albiston,Nebraska ,"University of California, Berkeley School of Law",76
2,Peter Lee,Peter Menell,UC Davis ,"University of California, Berkeley School of Law",76
3,Michael A. Satz,Michael Graetz,Idaho ,Columbia Law School,76
4,Joseph Thai,Joseph Raz,Univ. of Oklahoma ,Columbia Law School,76
5,Jessica M. Kiser,Jessica Wimer,Gonzaga ,"University of California, Irvine School of Law",76
6,Peter Lee,Peter Meyers,UC Davis ,The George Washington University Law School,76
7,Richard Albert,Richard Stewart,Univ. of Texas ,New York University School of Law,76
8,Peter Lee,Peter Linzer,UC Davis ,University of Houston Law Center,76
9,Carl Hernandez,Tanya Hernandez,III. Brigham Young ,Fordham University School of Law,76
10,Samuel Kan,Samuel Bray,Barry ,"University of California, Los Angeles School of Law",76
11,David Min,David Levine,Cal. Irvine ,"University of California, Hastings College of the Law",76
12,Jack F. Williams,Joan Williams,Georgia state ,"University of California, Hastings College of the Law",76
13,Michael J. Kelly,Michael Knoll,Creighton ,University of Pennsylvania Law School,76
14,Jay Butler,Paul Butler,William & Mary ,Georgetown University Law Center,76
15,Christopher S. Yoo,Christopher Hoyt,Pennsylvania ,University of Missouri-Kansas City School of Law,76
16,Michael Z. Green,Michael Greenfield,Texas A&M ,Washington University in St. Louis School of Law,76
17,Barbara Creel,Barbara Bressler,New Mexico ,DePaul University College of Law,76
18,Paul Butler,Paul Baier,Georgetown ,"Louisiana State University, Paul M. Hebert Law Center",76
19,Richard T. Ford,Richard Gordon,Stanford ,Case Western Reserve University School of Law,76
20,George Bach,George Hay,New Mexico ,Cornell Law School,76
21,Richard Winchester,Richard Weisberg,Thomas Jefferson ,Benjamin N. Cardozo School of Law,76
22,Richard Delgado,Richard Hyland,Alabama ,Rutgers Law School,76
23,Michael J. Kelly,Michael Healy,Creighton ,University of Kentucky College of Law,76
24,Nancy Leong,Nancy King,Denver ,Vanderbilt University Law School,76
25,David Min,David Ensign,Cal. Irvine ,"University of Louisville, Louis D. Brandeis School of Law",76
