,LateralYear,ID,First Name,LastName,Moved From,Moved To,Gender,Gender Label
0,2012,9272,Matthew,Adler,University of Pennsylvania,Duke University,male,1
1,2016,3677,Edward,Afield,Ava Maria School of Law,Georgia State University,male,1
2,2017,46,Richard,Albert,Boston College,"University of Texas, Austin",male,1
3,2016,8298,Lisa,Alexander,"University of Wisconsin, Madison",Texas A&M University,female,0
4,2018,832,Hilary,Allen,Suffolk University,American University,female,0
5,2015,2546,Owen,Anderson,"University of Oklahoma, Norman","University of Texas, Austin",male,1
6,2018,2248,Olufunmilayo,Arewa,"University of California, Irvine",Temple University,unknown,2
7,2013,4263,Kenneth,Ayotte,Northwestern University,"University of California, Berkeley",male,1
8,2017,9199,Sahar,Aziz,Texas A&M University,Rutgers University,female,0
9,2017,9420,Adam,Badawi,"Washington University, St. Louis","University of California, Berkeley",male,1
10,2016,1458,Margo,Bagley,University of Virginia,Emory University,female,0
11,2017,794,Shalanda,Baker,University of Hawaii,Northeastern University,unknown,2
12,2017,5849,Angela,Banks,College of William & Mary,Arizona State University,female,0
13,2014,1470,Oren,Bar-Gill,New York University,Harvard University,male,1
14,2015,4247,Ann,Bartow,Pace University,University of New Hampshire,female,0
15,2013,852,Teri,Baxter,Saint Louis University,University of Tennessee,female,0
16,2012,5425,Karima,Bennoune,Rutgers University at Newark,"University of California, Davis",female,0
17,2014,248,Mitchell,Berman,"University of Texas, Austin",University of Pennsylvania,male,1
18,2018,656,Khaled,Beydoun,University of Detroit Mercy School of Law,"University of Arkansas, Fayetteville",male,1
19,2018,7894,Joshua,Blank,New York University,"University of California, Irvine",male,1
20,2017,301,William,Boyd,"University of Colorado, Boulder","University of California, Los Angeles",male,1
21,2012,7911,Anu,Bradford,University of Chicago,Columbia University,female,0
22,2018,2493,Samuel,Bray,"University of California, Los Angeles",University of Notre Dame,male,1
23,2015,8219,Thomas,Brennan,Northwestern University,Harvard University,male,1
24,2017,4088,Richard,Brooks,Columbia University,New York University,male,1
25,2017,1674,Alfred,Brophy,"University of North Carolina, Chapel Hill ",University of Alabama,male,1
26,2012,865,Charles,Brower,University of Mississippi,Wayne State University,male,1
27,2017,3991,Eleanor,Brown,George Washington University,"Pennsylvania State University, University Park",female,0
28,2012,6713,Tomiko,Brown-Nagin,University of Virginia,Harvard University,female,0
29,2015,4416,Aaron,Bruhl,University of Houston,College of William & Mary,male,1
30,2017,4529,Christopher,Bruner,Washington & Lee University,University of Georgia,male,1
31,2015,4349,Christopher,Buccafusco,Chicago-Kent College of Law,Cardozo Law School,male,1
32,2013,4979,Karen,Burke,University of San Diego,"University of Florida, Gainesville",female,0
33,2012,7162,Paul,Butler,George Washington University,Georgetown University,male,1
34,2014,6840,William,Buzbee,Emory University,Georgetown University,male,1
35,2015,4373,Irene,Calboli,Marquette University,Texas A&M University,female,0
36,2013,5159,Lan,Cao,College of William & Mary,Chapman University,andy,2
37,2013,2160,June,Carbone,"University of Missouri, Kansas City",University of Minnesota,female,0
38,2013,2664,Paul,Caron,University of Cincinnati,Pepperdine University,male,1
39,2016,3892,Dale,Carpenter,University of Minnesota,Southern Methodist University,mostly_male,1
40,2014,6876,Jenny,Carroll,Seton Hall University,University of Alabama,female,0
41,2018,2814,Jennifer,Chacon,"University of California, Irvine","University of California, Los Angeles",female,0
42,2018,8807,Anupam,Chander,"University of California, Davis",Georgetown University,male,1
43,2018,1723,Stewart,Chang,Whittier Law School,"University of Nevada, Las Vegas",male,1
44,2013,1126,Jim,Chen,University of Louisville,Michigan State University,male,1
45,2013,6750,Eric,Chiappinelli,Creighton University,Texas Tech University,male,1
46,2013,4098,Luis,Chiesa,Pace University,"State University of New York, Buffalo",male,1
47,2013,1640,Christine,Cimini,University of Denver Sturm College of Law,Vermont Law School,female,0
48,2018,9893,Jessica,Clarke,University of Minnesota,Vanderbilt University,female,0
49,2014,5526,Steve,Clowney,University of Kentucky,"University of Arkansas, Fayetteville",male,1
50,2014,5149,Andrew,Coan,"University of Wisconsin, Madison",University of Arizona,male,1
51,2014,6269,Jorge,Contreras,American University,University of Utah,male,1
52,2018,1824,Frank,Cooper,Suffolk University,"University of Nevada, Las Vegas",male,1
53,2013,3878,Evan,Criddle,Syracuse University,College of William & Mary,male,1
54,2012,5281,Barry,Cushman,University of Virginia,University of Notre Dame,male,1
55,2013,2226,Jason,Czarnezki,Vermont Law School,Pace University,male,1
56,2013,7669,Steven,Davidoff,Ohio State University,"University of California, Berkeley",male,1
57,2018,6296,Seth,Davis,"University of California, Irvine","University of California, Berkeley",male,1
58,2013,4489,Richard,Delgado,Seattle University,University of Alabama,male,1
59,2014,9081,Dhammika,Dharmapala,University of Illinois,University of Chicago,unknown,2
60,2015,7272,William,Dodge,"University of California, Hastings","University of California, Davis",male,1
61,2012,4153,Scott,Dodson,College of William & Mary,"University of California, Hastings",male,1
62,2014,6857,Michael,Doran,Georgetown University,University of Virginia,male,1
63,2014,8653,Justin,Driver,"University of Texas, Austin",University of Chicago,male,1
64,2012,8185,Mary,Dudziak,University of Southern California,Emory University,mostly_female,0
65,2018,6667,Melissa,Durkee,"University of Washington, Seattle",University of Georgia,female,0
66,2018,74,Atiba,Ellis,West Virginia University,Marquette University,unknown,2
67,2014,5989,Lee,Epstein,University of Southern California,Washington University in St. Louis,mostly_male,1
68,2017,9246,Tonya,Evans,Widener University Commonwealth,University of New Hampshire,female,0
69,2016,3269,David,Fagundes,Southwestern Law School,University of Houston,male,1
70,2012,1297,Nita,Farahany,Vanderbilt University,Duke University,female,0
71,2014,829,Kimberly,Ferzan,"Rutgers University, Camden",University of Virginia,mostly_female,0
72,2016,524,Joshua,Fischman,Northwestern University,University of Virginia,male,1
73,2017,3108,Catherine,Fisk,"University of California, Irvine","University of California, Berkeley",female,0
74,2017,6699,Victor,Flatt,"University of North Carolina, Chapel Hill",University of Houston,male,1
75,2018,4193,Victor,Fleischer,University of San Diego,"University of California, Irvine",male,1
76,2013,9999,Miranda,Fleischer,"University of Colorado, Boulder",University of San Diego,female,0
77,2015,3062,Susan,Fortney,Hofstra University,Texas A&M University,female,0
78,2017,255,Sheila,Foster,Fordham University,Georgetown University,female,0
79,2016,3073,Michael,Frakes,Northwestern University,Duke University,male,1
80,2016,2291,Susan,Franck,Washington & Lee University,American University,female,0
81,2018,3743,David,Franklyn,University of San Francisco,Golden Gate University,male,1
82,2017,9472,Brett,Frischmann,Cardozo Law School,Villanova University,male,1
83,2013,5827,Jeanne,Fromer,Fordham University,New York University,female,0
84,2015,6025,Brian,Galle,Boston College,Georgetown University,male,1
85,2017,4466,David,Gamage,"University of California, Berkeley","Indiana University, Bloomington",male,1
86,2018,2171,Nuno,Garoupa,Texas A&M University,George Mason University,male,1
87,2018,5069,Brandon,Garrett,University of Virginia,Duke University,male,1
88,2012,2605,Bryant,Garth,Southwestern Law School,"University of California, Irvine",male,1
89,2012,5347,James,Gathii,Albany Law School,"Loyola University, Chicago",male,1
90,2012,1244,Adam,Gershowitz,University of Houston,College of William & Mary,male,1
91,2016,900,Shubha,Ghosh,"University of Wisconsin, Madison",Syracuse University,female,0
92,2017,4067,Rachel,Godsil,Seton Hall University,Rutgers University,female,0
93,2018,7402,Andrew,Gold,DePaul University,Brooklyn Law School,male,1
94,2014,4861,Michele,Goodwin,University of Minnesota,"University of California, Irvine",female,0
95,2012,4754,Leslie,Griffin,University of Houston,"University of Nevada, Las Vegas",mostly_female,0
96,2016,699,James,Grimmelman,University of Maryland,Cornell University,male,1
97,2016,8668,Joanna,Grossman,Hofstra University,Southern Methodist University,female,0
98,2014,3885,Kaaryn,Gustafson,University of Connecticut,"University of California, Irvine",unknown,2
99,2017,7844,Sarah,Haan,University of Idaho,Washington & Lee University,female,0
100,2018,7046,Philip,Hackney,Louisiana State University,University of Pittsburgh,male,1
