Dan Brean,Akron,"Name is Brean, Daniel Harris on Hein"
Ted De Barbieri,Albany,
Mattiangai Sirleaf,Baltimore,
Khaled Beydoun,Barry,
Maureen Van Neste,Boston College,
Christina Skinner,Brooklyn,
Charisa Kiyo Smith,Brooklyn College Sociology,
Tabrez Ebrahim,Cal Western,URL name error
I. India Thusi,Cal Western,
Pooja R. Dadhania,California Western,
Catherine Hardee,California Western,
Summer Chandler,Concordia,
Latonia Keith,Concordia,
Miguel de Figueiredo,Connecticut,
Emad Hanzala Atiq,Cornell,
Jed Stiglitz,Cornell,
James Dillon,Dayton,
Seth Orangburg,Duquesne,
Patti Zettler,Georgia State,
Jonathan Darrow,Harvard Medical School,No links for Harvard Medical school come up when you search his name
Adi Leibovich,Hebrew,
Leora Dahan Katz,Hebrew University,
Darin Johnson,Howard,
Yulanda Curtis,Illinois,
Bram T.B. Elias,Iowa,
John Acevedo,LaVerne,
WC Bunting,"Legal Stud. Dept, Fox Bus. Sch., Temple",
Goldburn P. Maynard,Louisville,URL error in code (it was listed as lsc)
Richard Chen,Maine,"URL is listed as umaine, but the url is mainelaw.maine.edu"
Alex Lemann,Marquette,Alexander
William J. Moon,Maryland,"URL is listed as umd, but the url is umaryland"
Emily Whelan Parento,McGeorge,URL is listed as mcgeorge but georgetown and pacific come up when searched on google
Cliff Johnson,Mississippi,URL is listed as en.wikipedia.org/wiki/University_of_Mississippi
Nicholson Price,New Hampshire,
Roger Ford,New Hampshire,
Ari Ezra Waldman,New York Law,
Jake Sherkow,New York Law,
Kate Soblosky Elengold,North Carolina,
Bradford Short,North South U (Bangladesh),
Dan McConkie,Northern Illinois,
Emiliano Marambio Catan,NYU,
Daniel Schaffa,Richmond,
CJ Ryan,Roger Williams,
Jacob Hale Russell,Rutgers (Camden),
James Binnall,Savannah,
Wendy Salkin,SF State,
Sheldon Welton,South Carolina,
Christine Pedigo Bartholomew,SUNY Buffalo,
Stephen Nyak-Young,Surrey,
Chris Taggart,Surrey,
Vanessa Casado Pérez,Texas A&M,
Dorothy Shapiro Lund,USC,
Young Ran (Christine) Kim,Utah,
Gautam Hans,Vanderbilt,
Jeannie Oliver,Vermont,
Maureen (Molly) Brady,Virginia,
Marie-Amélie George,Wake Forest,
Trevor Gardner,Washington (University of),
Vince Buccola,Wharton,
